/* DATA DESCRIPTION:
Citation:	Barnet, James S K; Littler, Kate; Westerhold, Thomas; Kroon, Dick; Leng, Melanie J; Bailey, Ian; Röhl, Ursula; Zachos, James C (2018): Late Maastrichtian-early Eocene benthic stable carbon and oxygen isotope records from ODP Site 208-1262, South Atlantic [dataset]. College of Engineering, Mathematics and Physical Sciences, University of Exeter, PANGAEA, https://doi.org/10.1594/PANGAEA.884585, 
	In supplement to: Barnet, JSK et al. (2019): A High-Fidelity Benthic Stable Isotope Record of Late Cretaceous–Early Eocene Climate Change and Carbon-Cycling. Paleoceanography and Paleoclimatology, 34(4), 672-691, https://doi.org/10.1029/2019PA003556
Related to:	Barnet, James S K; Littler, Kate; Kroon, Dick; Leng, Melanie J; Westerhold, Thomas; Röhl, Ursula; Zachos, James C (2017): A new high-resolution chronology for the late Maastrichtian warming event: Establishing robust temporal links with the onset of Deccan volcanism. Geology, 46(2), 147-150, https://doi.org/10.1130/G39771.1
	Lauretano, Vittoria; Littler, Kate; Polling, M; Zachos, James C; Lourens, Lucas Joost (2015): Frequency, magnitude and character of hyperthermal events at the onset of the Early Eocene Climatic Optimum. Climate of the Past, 11(10), 1313-1324, https://doi.org/10.5194/cp-11-1313-2015
	Littler, Kate; Röhl, Ursula; Westerhold, Thomas; Zachos, James C (2014): A high-resolution benthic stable-isotope record for the South Atlantic: Implications for orbital-scale changes in Late Paleocene–Early Eocene climate and carbon cycling. Earth and Planetary Science Letters, 401, 18-30, https://doi.org/10.1016/j.epsl.2014.05.054
	McCarren, H; Thomas, E; Hasegawa, Takashi; Röhl, Ursula; Zachos, James C (2008): Depth Dependency of the Paleocene-Eocene carbon isotope excursion: Paired benthic and terrestrial biomarker records (Ocean Drilling Program Leg 208, Walvis Ridge). Geochemistry, Geophysics, Geosystems, 9(10), Q10008, https://doi.org/10.1029/2008GC002116
	Stap, Lennert Bastiaan; Lourens, Lucas Joost; Thomas, E; Sluijs, Appy; Bohaty, Steven M; Zachos, James C (2010): High-resolution deep-sea carbon and oxygen isotope records of Eocene Thermal Maximum 2 and H2. Geology, 38(7), 607-610, https://doi.org/10.1130/G30777.1
Project(s):	Ocean Drilling Program (ODP) (URI: https://www-odp.tamu.edu:443/)
Coverage:	MEDIAN LATITUDE: -27.185827 * MEDIAN LONGITUDE: 1.576993 * SOUTH-BOUND LATITUDE: -27.186000 * WEST-BOUND LONGITUDE: 1.576980 * NORTH-BOUND LATITUDE: -27.185650 * EAST-BOUND LONGITUDE: 1.577000
	DATE/TIME START: 2003-03-24T13:00:00 * DATE/TIME END: 2003-03-29T05:15:00
	MINIMUM DEPTH, sediment/rock: 87.7700 m * MAXIMUM DEPTH, sediment/rock: 212.6550 m
Event(s):	208-1262A * LATITUDE: -27.186000 * LONGITUDE: 1.577000 * DATE/TIME START: 2003-03-24T13:00:00 * DATE/TIME END: 2003-03-26T12:40:00 * ELEVATION: -4759.0 m * PENETRATION: 161.5 m * RECOVERY: 163.53 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 17 cores; 161.5 m cored; 0 m drilled; 101.3 % recovery
	208-1262B * LATITUDE: -27.185830 * LONGITUDE: 1.577000 * DATE/TIME START: 2003-03-26T12:40:00 * DATE/TIME END: 2003-03-27T21:25:00 * ELEVATION: -4753.6 m * PENETRATION: 209.9 m * RECOVERY: 212.53 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 23 cores; 209.9 m cored; 0 m drilled; 101.3 % recovery
	208-1262C * LATITUDE: -27.185650 * LONGITUDE: 1.576980 * DATE/TIME START: 2003-03-27T21:25:00 * DATE/TIME END: 2003-03-29T05:15:00 * ELEVATION: -4753.6 m * PENETRATION: 212.5 m * RECOVERY: 125.93 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 14 cores; 122.5 m cored; 90 m drilled; 102.8 % recovery
Parameter(s):	Event label (Event) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk)
	Sample code/label (Sample label) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * METHOD/DEVICE: DSDP/ODP/IODP sample designation (URI: hdl:10013/epic.27914.d001)
	Depth, top/min [m] (Depth top) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * COMMENT: mbsf
	Foraminifera, benthic δ13C [‰ PDB] (Foram benth δ13C) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * COMMENT: vs. VPDB
	Foraminifera, benthic δ18O [‰ PDB] (Foram benth δ18O) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * COMMENT: vs. VPDB
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * COMMENT: midpoint mbsf
	Depth, composite [mcd] (Depth comp) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * COMMENT: midpoint
	AGE [ka BP] (Age) * GEOCODE * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * COMMENT: this study
	Reference/source (Reference) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * COMMENT: data
	δ18O, adjusted/corrected [‰] (δ18O) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * METHOD/DEVICE: Corrected * COMMENT: corrected to Cibicidoides
	Bottom water temperature [°C] (BWT) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * COMMENT: Cibicidoides
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	30928 data points
*/
Event	Sample label	Depth top [m]	Foram benth δ13C [‰ PDB]	Foram benth δ18O [‰ PDB]	Depth sed [m]	Depth comp [mcd]	Age [ka BP]	Reference	δ18O [‰]	BWT [°C]
208-1262A	208-1262A-10H-3,64-65	89.140	0.12	-0.65	89.1450	105.2550	52560.03	Lauretano et al. (2015)	-0.618	13.11
208-1262A	208-1262A-10H-3,67-68	89.170	0.10	-0.77	89.1750	105.2850	52564.42	Lauretano et al. (2015)	-0.753	13.72
208-1262A	208-1262A-10H-3,70-71	89.200	0.10	-0.77	89.2050	105.3150	52568.82	Lauretano et al. (2015)	-0.753	13.72
208-1262A	208-1262A-10H-3,73-74	89.230	0.14	-0.73	89.2350	105.3450	52573.22	Lauretano et al. (2015)	-0.708	13.52
208-1262A	208-1262A-10H-3,76-77	89.260	0.04	-0.84	89.2650	105.3750	52577.62	Lauretano et al. (2015)	-0.831	14.08
208-1262A	208-1262A-10H-3,79-80	89.290	0.08	-0.80	89.2950	105.4050	52582.02	Lauretano et al. (2015)	-0.787	13.88
208-1262A	208-1262A-10H-3,82-83	89.320	0.21	-0.70	89.3250	105.4350	52586.41	Lauretano et al. (2015)	-0.674	13.37
208-1262A	208-1262A-10H-3,85-86	89.350	0.11	-0.82	89.3550	105.4650	52590.81	Lauretano et al. (2015)	-0.809	13.98
208-1262A	208-1262A-10H-3,88-89	89.380	0.19	-0.74	89.3850	105.4950	52595.21	Lauretano et al. (2015)	-0.719	13.57
208-1262A	208-1262A-10H-3,91-92	89.410	0.12	-0.84	89.4150	105.5250	52599.61	Lauretano et al. (2015)	-0.831	14.08
208-1262A	208-1262A-10H-3,94-95	89.440	0.27	-0.69	89.4450	105.5550	52604.01	Lauretano et al. (2015)	-0.663	13.32
208-1262A	208-1262A-10H-3,97-98	89.470	0.20	-0.70	89.4750	105.5850	52608.40	Lauretano et al. (2015)	-0.674	13.37
208-1262A	208-1262A-10H-3,100-101	89.500	0.11	-0.81	89.5050	105.6150	52612.80	Lauretano et al. (2015)	-0.798	13.93
208-1262A	208-1262A-10H-3,103-104	89.530	0.30	-0.59	89.5350	105.6450	52617.20	Lauretano et al. (2015)	-0.551	12.81
208-1262A	208-1262A-10H-3,106-107	89.560	0.33	-0.56	89.5650	105.6750	52621.60	Lauretano et al. (2015)	-0.517	12.66
208-1262A	208-1262A-10H-3,109-110	89.590	0.15	-0.54	89.5950	105.7050	52625.99	Lauretano et al. (2015)	-0.494	12.56
208-1262A	208-1262A-10H-3,112-113	89.620	0.18	-0.66	89.6250	105.7350	52630.39	Lauretano et al. (2015)	-0.629	13.16
208-1262A	208-1262A-10H-3,115-116	89.650	0.21	-0.70	89.6550	105.7650	52634.79	Lauretano et al. (2015)	-0.674	13.37
208-1262A	208-1262A-10H-3,118-119	89.680	0.20	-0.59	89.6850	105.7950	52639.19	Lauretano et al. (2015)	-0.551	12.81
208-1262A	208-1262A-10H-3,121-122	89.710	0.28	-0.60	89.7150	105.8250	52643.59	Lauretano et al. (2015)	-0.562	12.86
208-1262A	208-1262A-10H-3,124-125	89.740	0.28	-0.60	89.7450	105.8550	52647.98	Lauretano et al. (2015)	-0.562	12.86
208-1262A	208-1262A-10H-3,127-128	89.770	0.26	-0.61	89.7750	105.8850	52652.38	Lauretano et al. (2015)	-0.573	12.91
208-1262A	208-1262A-10H-3,130-131	89.800	0.25	-0.67	89.8050	105.9150	52656.78	Lauretano et al. (2015)	-0.640	13.21
208-1262A	208-1262A-10H-3,133-134	89.830	0.25	-0.70	89.8350	105.9450	52661.18	Lauretano et al. (2015)	-0.674	13.37
208-1262A	208-1262A-10H-3,136-137	89.860	0.28	-0.63	89.8650	105.9750	52665.58	Lauretano et al. (2015)	-0.596	13.01
208-1262A	208-1262A-10H-3,142-143	89.920	0.40	-0.59	89.9250	106.0350	52674.37	Lauretano et al. (2015)	-0.551	12.81
208-1262A	208-1262A-10H-3,145-146	89.950	0.40	-0.62	89.9550	106.0650	52678.77	Lauretano et al. (2015)	-0.584	12.96
208-1262A	208-1262A-10H-3,148-149	89.980	0.36	-0.60	89.9850	106.0950	52683.17	Lauretano et al. (2015)	-0.562	12.86
208-1262A	208-1262A-10H-4,1-2	90.010	0.22	-0.77	90.0150	106.1250	52687.56	Lauretano et al. (2015)	-0.753	13.72
208-1262A	208-1262A-10H-4,4-5	90.040	0.17	-0.74	90.0450	106.1550	52691.96	Lauretano et al. (2015)	-0.719	13.57
208-1262A	208-1262A-10H-4,7-8	90.070	0.06	-0.81	90.0750	106.1850	52696.36	Lauretano et al. (2015)	-0.798	13.93
208-1262A	208-1262A-10H-4,10-11	90.100	0.11	-0.67	90.1050	106.2150	52700.76	Lauretano et al. (2015)	-0.640	13.21
208-1262A	208-1262A-10H-4,16-17	90.160	0.18	-0.67	90.1650	106.2750	52709.55	Lauretano et al. (2015)	-0.640	13.21
208-1262A	208-1262A-10H-4,19-20	90.190	0.14	-0.60	90.1950	106.3050	52713.95	Lauretano et al. (2015)	-0.562	12.86
208-1262A	208-1262A-10H-4,25-26	90.250	0.07	-0.61	90.2550	106.3650	52722.75	Lauretano et al. (2015)	-0.573	12.91
208-1262A	208-1262A-10H-4,28-29	90.280	-0.11	-0.83	90.2850	106.3950	52727.15	Lauretano et al. (2015)	-0.820	14.03
208-1262A	208-1262A-10H-4,31-32	90.310	-0.27	-0.84	90.3150	106.4250	52731.54	Lauretano et al. (2015)	-0.831	14.08
208-1262A	208-1262A-10H-4,34-35	90.340	-0.34	-1.05	90.3450	106.4550	52735.94	Lauretano et al. (2015)	-1.067	15.16
208-1262A	208-1262A-10H-4,37-38	90.370	-0.51	-1.19	90.3750	106.4850	52740.34	Lauretano et al. (2015)	-1.225	15.89
208-1262A	208-1262A-10H-4,40-41	90.400	-0.39	-1.02	90.4050	106.5150	52744.69	Lauretano et al. (2015)	-1.034	15.01
208-1262A	208-1262A-10H-4,43-44	90.430	-0.17	-0.85	90.4350	106.5450	52749.01	Lauretano et al. (2015)	-0.843	14.13
208-1262A	208-1262A-10H-4,46-47	90.460	0.03	-0.62	90.4650	106.5750	52753.32	Lauretano et al. (2015)	-0.584	12.96
208-1262A	208-1262A-10H-4,49-50	90.490	0.14	-0.61	90.4950	106.6050	52757.63	Lauretano et al. (2015)	-0.573	12.91
208-1262A	208-1262A-10H-4,52-53	90.520	0.19	-0.60	90.5250	106.6350	52761.94	Lauretano et al. (2015)	-0.562	12.86
208-1262A	208-1262A-10H-4,55-56	90.550	0.04	-0.67	90.5550	106.6650	52766.25	Lauretano et al. (2015)	-0.640	13.21
208-1262A	208-1262A-10H-4,58-59	90.580	0.09	-0.69	90.5850	106.6950	52770.57	Lauretano et al. (2015)	-0.663	13.32
208-1262A	208-1262A-10H-4,61-62	90.610	0.19	-0.61	90.6150	106.7250	52774.88	Lauretano et al. (2015)	-0.573	12.91
208-1262A	208-1262A-10H-4,64-65	90.640	0.17	-0.58	90.6450	106.7550	52779.19	Lauretano et al. (2015)	-0.539	12.76
208-1262A	208-1262A-10H-4,67-68	90.670	0.08	-0.68	90.6750	106.7850	52783.50	Lauretano et al. (2015)	-0.652	13.27
208-1262A	208-1262A-10H-4,70-71	90.700	-0.01	-0.61	90.7050	106.8150	52787.82	Lauretano et al. (2015)	-0.573	12.91
208-1262A	208-1262A-10H-4,73-74	90.730	-0.03	-0.71	90.7350	106.8450	52792.13	Lauretano et al. (2015)	-0.685	13.42
208-1262A	208-1262A-10H-4,76-77	90.760	0.09	-0.65	90.7650	106.8750	52796.44	Lauretano et al. (2015)	-0.618	13.11
208-1262A	208-1262A-10H-4,79-80	90.790	0.11	-0.60	90.7950	106.9050	52800.75	Lauretano et al. (2015)	-0.562	12.86
208-1262B	208-1262B-12H-1,61-62	90.610	0.15	-0.65	96.5150	107.1333	52833.56	Lauretano et al. (2015)	-0.618	13.11
208-1262B	208-1262B-12H-1,64-65	90.640	0.14	-0.58	96.5450	107.1719	52839.12	Lauretano et al. (2015)	-0.539	12.76
208-1262B	208-1262B-12H-1,67-68	90.670	-0.18	-0.92	96.5750	107.2107	52845.43	Lauretano et al. (2015)	-0.921	14.49
