/* DATA DESCRIPTION:
Citation:	Westerhold, Thomas; Röhl, Ursula; Donner, Barbara; Zachos, James C (2017): (DS01) Benthic stable isotope data for ODP Site 198-1209 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.883334, 
	In supplement to: Westerhold, T et al. (2018): Global extent of early eocene hyperthermal events - a new Pacific benthic foraminiferal isotope record from Shatsky Rise (ODP Site 1209). Paleoceanography and Paleoclimatology, 33(6), 626-642, https://doi.org/10.1029/2017PA003306
Project(s):	Ocean Drilling Program (ODP) (URI: https://www-odp.tamu.edu:443/)
Coverage:	LATITUDE: 32.651700 * LONGITUDE: 158.505983
	DATE/TIME START: 2001-09-18T00:00:00 * DATE/TIME END: 2001-09-23T00:00:00
	MINIMUM DEPTH, sediment/rock: 148.48 m * MAXIMUM DEPTH, sediment/rock: 237.96 m
Event(s):	198-1209 * LATITUDE: 32.651700 * LONGITUDE: 158.505983 * DATE/TIME START: 2001-09-18T00:00:00 * DATE/TIME END: 2001-09-23T00:00:00 * ELEVATION: -2387.3 m * PENETRATION: 865.1 m * RECOVERY: 766 m * LOCATION: North Pacific Ocean * CAMPAIGN: Leg198 * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 83 cores; 759.4 m cored; 105.7 m drilled; 100.9% recovery
Parameter(s):	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Depth, composite revised [rmcd] (Depth comp r) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	AGE [ka BP] (Age) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: Tuned age
	Nuttallides truempyi, δ13C [‰ PDB] (N. truempyi δ13C) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: vs. VPDB
	Nuttallides truempyi, δ18O [‰ PDB] (N. truempyi δ18O) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: vs. VPDB
	Oridorsalis umbonatus, δ13C [‰ PDB] (O. umbonatus δ13C) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: vs. VPDB
	Oridorsalis umbonatus, δ18O [‰ PDB] (O. umbonatus δ18O) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: vs. VPDB
	Analytical method (Analyt method) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Comment (Comment) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: Error
	Laboratory (Lab) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Reference/source (Reference) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	14309 data points
*/
Sample label	Depth sed [m]	Depth comp r [rmcd]	Age [ka BP]	N. truempyi δ13C [‰ PDB]	N. truempyi δ18O [‰ PDB]	O. umbonatus δ13C [‰ PDB]	O. umbonatus δ18O [‰ PDB]	Analyt method	Comment	Lab	Reference
198-1209B-17H-2,21-23	149.32	163.920	45305.508	0.2383	0.4584			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-17H-2,25-27	149.36	163.960	45314.390							Bremen	this study
198-1209B-17H-2,29-31	149.40	164.000	45323.273							Bremen	this study
198-1209B-17H-2,41-43	149.52	164.120	45349.921	0.1971	0.4054			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-17H-2,45-47	149.56	164.160	45358.804							Bremen	this study
198-1209B-17H-2,49-51	149.60	164.200	45367.687							Bremen	this study
198-1209B-17H-2,53-55	149.64	164.240	45376.570	0.2174	0.5170			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-17H-2,57-59	149.68	164.280	45385.452							Bremen	this study
198-1209B-17H-2,61-63	149.72	164.320	45394.335	0.3130	0.4855			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-17H-2,65-67	149.76	164.360	45403.218							Bremen	this study
198-1209B-17H-2,69-71	149.80	164.400	45412.101	0.1984	0.3688			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-17H-2,73-75	149.84	164.440	45420.983	0.2968	0.5468			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-17H-2,77-79	149.88	164.480	45429.866	0.2291	0.4996			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-17H-2,81-83	149.92	164.520	45438.749	0.2205	0.4905			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-17H-2,85-87	149.96	164.560	45447.632	0.2262	0.4923			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-17H-2,89-91	150.00	164.600	45456.514	0.2434	0.4819			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-17H-2,93-95	150.04	164.640	45465.397	0.3613	0.5038			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-17H-2,97-99	150.08	164.680	45474.280	0.2586	0.4327			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-17H-2,101-103	150.12	164.720	45483.162	0.2352	0.4738			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-17H-2,105-107	150.16	164.760	45492.044	0.3610	0.4337			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-17H-2,109-111	150.20	164.800	45497.041	0.3364	0.5204			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-17H-2,113-115	150.24	164.840	45502.039	0.2978	0.4620			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-17H-2,117-119	150.28	164.880	45507.036	0.2631	0.4666			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-17H-2,121-123	150.32	164.920	45512.033	0.1804	0.3583			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-17H-2,125-127	150.36	164.960	45517.030	0.2063	0.3895			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-17H-2,129-131	150.40	165.000	45522.028	0.1901	0.4328			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-17H-2,133-135	150.44	165.040	45527.025	0.2174	0.3342			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-17H-2,137-139	150.48	165.080	45532.022	0.1957	0.4144			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-17H-2,141-143	150.52	165.120	45537.019	0.1699	0.3612			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-17H-2,145-147	150.56	165.160	45542.017	0.1627	0.3935			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-17H-2,149-150	150.60	165.195	45547.014	0.0335	0.1946			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.07 per mil for d18O	Bremen	this study
198-1209B-17H-3,3-5	150.64	165.240	45552.011	0.2111	0.3625			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-17H-3,7-9	150.68	165.280	45557.008	0.1264	0.4032			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-17H-3,11-13	150.72	165.320	45562.006	0.3271	0.4801			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-17H-3,15-17	150.76	165.360	45567.003	0.1715	0.4457			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-17H-3,19-21	150.80	165.400	45572.001	0.2680	0.3980			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-17H-3,23-25	150.84	165.440	45578.881	0.2624	0.5096			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-17H-3,27-29	150.88	165.480	45585.761	0.2008	0.4006			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-17H-3,31-33	150.92	165.520	45592.641	0.2190	0.3875			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-17H-3,35-37	150.96	165.560	45599.521	0.2168	0.4565			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-17H-3,39-41	151.00	165.600	45606.401	0.0666	0.3918			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-17H-3,43-45	151.04	165.640	45613.281	0.1432	0.3819			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-17H-3,47-49	151.08	165.680	45620.161							Bremen	this study
198-1209B-17H-3,51-53	151.12	165.720	45627.041	0.1412	0.5086			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-17H-3,55-57	151.16	165.760	45633.922	0.1532	0.3609			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-17H-3,59-61	151.20	165.800	45640.802	0.1727	0.3415			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-17H-3,63-65	151.24	165.840	45647.682	0.2093	0.3954			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-17H-3,67-69	151.28	165.880	45654.562	0.2427	0.4329			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-17H-3,71-73	151.32	165.920	45661.442	0.1183	0.3568			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-17H-3,75-77	151.36	165.960	45668.322	0.1758	0.3494			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-17H-3,79-81	151.40	166.000	45675.202	0.1626	0.3810			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-17H-3,83-85	151.44	166.040	45682.082	0.2153	0.3649			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-17H-3,87-89	151.48	166.080	45688.962	0.3386	0.4584			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-17H-3,91-93	151.52	166.120	45695.842	0.3183	0.4155			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-17H-3,95-97	151.56	166.160	45702.723	0.2982	0.2554			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-17H-3,99-101	151.60	166.200	45709.603	0.2780	0.4843			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-17H-3,103-105	151.64	166.240	45716.483	0.2275	0.3757			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-17H-3,107-109	151.68	166.280	45723.363	0.1728	0.3794			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-17H-1,59-61	151.30	166.320	45730.243	0.2605	0.3301			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-17H-1,63-65	151.34	166.360	45737.123	0.2143	0.3048			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-17H-1,67-69	151.38	166.400	45744.003	0.2203	0.3685			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209A-17H-1,71-73	151.42	166.440	45750.883	0.2001	0.3606			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-17H-1,75-77	151.46	166.480	45757.763	0.3931	0.3877			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-17H-1,79-81	151.50	166.520	45764.643	0.2670	0.3816			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-17H-1,83-85	151.54	166.560	45771.523	0.1722	0.2412			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-17H-1,87-89	151.58	166.600	45778.404	0.3375	0.3674			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-17H-1,91-93	151.62	166.640	45785.284	0.2541	0.3896			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-17H-1,95-97	151.66	166.680	45792.164	0.3367	0.2953			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-17H-1,99-101	151.70	166.720	45799.044	0.2765	0.3858			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-17H-1,103-105	151.74	166.760	45805.924	0.2429	0.3681			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-17H-1,107-109	151.78	166.800	45812.804	0.2015	0.2887			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-17H-1,111-113	151.82	166.840	45819.684	0.1327	0.2683			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209A-17H-1,115-117	151.86	166.880	45826.564	0.0867	0.2936			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-17H-1,119-121	151.90	166.920	45833.444	0.2288	0.3353			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-17H-1,123-125	151.94	166.960	45840.324	0.1509	0.3996			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-17H-1,127-129	151.98	167.000	45847.205	0.2925	0.3338			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-17H-1,131-133	152.02	167.040	45854.085	0.2684	0.1420			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209A-17H-1,135-137	152.06	167.080	45860.965	0.2017	0.3300			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209A-17H-1,139-141	152.10	167.120	45867.845	0.1281	-0.0774			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-17H-1,143-145	152.14	167.160	45874.725	0.1725	0.1925			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-17H-1,147-149	152.18	167.200	45881.605	0.1429	0.2651			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-17H-2,1-3	152.22	167.240	45888.485	0.1411	0.0966			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
