Counter,Type.1,Type.2,User,ignoreAnalysis,Sample_Name,Sample,Date,DateTime,IPLnum,NumBlocks,NumCycles,IntTime,sam44current,ref44current,d13C.PDB,d13C.err,d18O.rawPDB,d18O.err,d18O.rawSMOW,d45,d45.err,d46,d46.err,d47,d47.err,d48,d48.err,d49,d49.err,D472,D47.err3,D484,D48.err5,D496,D49.err7,Comments
4001,Standard,102-GC-AZ01,eyl,include,102-GC-AZ01,IPL-CI-4796 102-GC-AZ01,20260325.12,3/25/26 12:13,4796,90,calcite,50,5.77e-8,5.74e-8,0.753892464,7.00969e-4,-6.494896207,0.003794105,24.21434655,10.44597453,6.10588e-4,-7.595229085,0.003785681,2.906594693,0.009395109,-15.19956718,0.017847463,-36.273373,1.688338946,-0.331752821,0.00663665,-0.06709233,0.02029502,-32.51841408,1.694937472,
4002,Standard,102-GC-AZ01,eyl,include,102-GC-AZ01,IPL-CI-4814 102-GC-AZ01,20260402.09,4/2/26 9:15,4814,90,calcite,50,5.77e-8,5.75e-8,0.772164786,5.81168e-4,-6.521347318,0.003818898,24.18707784,10.46216782,5.68401e-4,-7.621586798,0.003810811,2.922768631,0.007985284,-15.23289028,0.026518898,-21.62478347,1.269877149,-0.302707931,0.005392609,-0.053995457,0.025810646,-17.77168167,1.275047055,
4003,Standard,102-GC-AZ01,wmn,include,102-GC-AZ01,IPL-CI-4861 102-GC-AZ01,20260419.18,4/19/26 18:25,4861,90,calcite,50,5.77e-8,5.76e-8,0.544799871,4.35109e-4,-6.431869452,0.003794101,24.27932146,10.25077116,4.02864e-4,-7.532772944,0.003785872,2.789860846,0.007242926,-15.07852231,0.029025545,-25.25303141,1.427930221,-0.307424389,0.005372576,-0.076331682,0.027213557,-21.36822686,1.433718073,
4004,Standard,102-GC-AZ01,wmn,include,102-GC-AZ01,IPL-CI-4867 102-GC-AZ01,20260422.12,4/22/26 12:41,4867,90,calcite,50,5.78e-8,5.77e-8,0.599324749,0.002330765,-6.418331325,0.003849327,24.29327805,10.30361393,0.001776442,-7.519138219,0.003839949,2.855761102,0.008871612,-15.04375734,0.028413182,-27.6948542,1.673463147,-0.32777918,0.005780724,-0.102100963,0.025726286,-23.9508817,1.679393687,
4005,Standard,102-GC-AZ01,eyl,include,102-GC-AZ01,IPL-CI-4915 102-GC-AZ01,20260512.13,5/12/26 13:21,4915,90,calcite,50,5.77e-8,5.75e-8,0.645677072,4.80754e-4,-6.467616278,0.003706503,24.2424697,10.3447055,4.31378e-4,-7.568233399,0.003698391,2.846485486,0.007173478,-15.17358337,0.024296092,-24.62701584,1.321822609,-0.311808437,0.005877128,-0.089617252,0.02486159,-20.76819562,1.325385562,
4006,Standard,102-GC-AZ01,wmn,include,102-GC-AZ01,IPL-CI-4976 102-GC-AZ01,20260608.11,6/8/26 11:27,4976,90,calcite,50,5.78e-8,5.77e-8,1.106109299,0.002438343,-6.468500898,0.003248683,24.24155774,10.78000146,0.001903677,-7.568142394,0.003240473,3.285780349,0.009339676,-15.12180021,0.02904221,-25.97072636,1.459091615,-0.329200515,0.006933638,-0.08534271,0.024066623,-22.61329624,1.464495312,
4007,Standard,102-GC-AZ01 Heated,wmn,exclude,102-GC-AZ01 Heated,IPL-CI-4429 102-GC-AZ01 HEATED,20251103.14,11/3/25 14:44,4429,90,calcite,50,5.77e-8,5.75e-8,0.897304965,5.77499e-4,-6.682925103,0.003828384,24.02050568,10.57457451,5.20795e-4,-7.782561773,0.003820109,2.353233864,0.010148074,-15.79059813,0.027502928,-29.02842929,1.643426028,-0.825772174,0.008074548,-0.282995033,0.025892319,-25.00934103,1.651050051,ACTUALLY Heated 102-GC-AZ01
4008,Sample,Bighorn Basin Travertine,jnl,include,84A-466-468A,IPL-CI-4582 84A-466-468A,20251223.17,12/23/25 17:48,4582,90,calcite,50,5.78e-8,5.76e-8,0.473641168,0.001071906,2.089682516,0.003901768,33.0642746,10.48297407,7.46054e-4,0.970826912,0.003892818,11.401948580000001,0.010058216,1.852720005,0.027295178,4.351719209,1.271774611,-0.389396017,0.006384432,-0.122537488,0.022948407,-8.678974013,1.256143335,
4009,Sample,Bighorn Basin Travertine,jnl,include,84A-466-468A,IPL-CI-4590 84A-466-468A,20251226.16,12/26/25 16:21,4590,90,calcite,50,5.77e-8,5.75e-8,0.46156671,4.68665e-4,2.02557439,0.004213194,32.99818489,10.46892172,4.66104e-4,0.906814683,0.004199445,11.30514275,0.010028764,1.661399522,0.023952621,3.070652943,1.409783428,-0.39840261,0.006849308,-0.155747267,0.020401384,-9.78022731,1.389298721,
4010,Sample,Cave Pool Carbonates,jnl,include,84A-546-548A,IPL-CI-4583 84A-546-548A,20251224.11,12/24/25 11:38,4583,90,calcite,50,5.78e-8,5.76e-8,0.313235973,0.001431008,1.622440588,0.004224052,32.58259023,10.31578732,9.1569e-4,0.504237339,0.004214786,10.76986117,0.009332607,0.893921717,0.02925252,1.536950596,1.483248691,-0.385595037,0.005811467,-0.131627172,0.023335772,-10.40623204,1.460622457,
4011,Sample,Cave Pool Carbonates,jnl,include,84A-546-548A,IPL-CI-4592 84A-546-548A,20251227.17,12/27/25 17:02,4592,90,calcite,50,5.78e-8,5.76e-8,0.312073439,5.79429e-4,1.550896539,0.004067176,32.50883475,10.31150234,4.25515e-4,0.432785641,0.00407833,10.7067956,0.008079088,0.683082925,0.02250956,-1.893374018,1.930896032,-0.374327002,0.006660017,-0.183459476,0.019324004999999998,-13.58983821,1.904910492,
4012,Sample,Cave Pool Carbonates,jnl,include,84A-578-580A,IPL-CI-4584 84A-578-580,20251224.14,12/24/25 14:47,4584,90,calcite,50,5.78e-8,5.76e-8,0.19178735,0.002179526,1.5347546459999999,0.00443971,32.49219391,10.19819773,0.001561625,0.416484745,0.004429296,10.5684504,0.0100272,0.70877135,0.030466115,4.239537889,1.584875145,-0.376680415,0.00711542,-0.157007387,0.024722136,-7.445944968,1.565062901,
4013,Sample,Cave Pool Carbonates,jnl,include,84A-578-580A,IPL-CI-4593 84A-578-580A,20251227.19,12/27/25 19:35,4593,90,calcite,50,5.78e-8,5.76e-8,0.214814109,0.001913373,1.540031641,0.004299034,32.49763402,10.21981219,0.001398889,0.421796744,0.004288692,10.59544171,0.009488464,0.736396681,0.023201203,2.018272849,1.869510499,-0.381790762,0.006830157,-0.111055153,0.019300359,-9.658006539,1.842897154,
4014,Sample,Cave Pool Carbonates,jnl,include,84A-666-668,IPL-CI-4586 84A-666-668,20251225.13,12/25/25 13:31,4586,90,calcite,50,5.79e-8,5.77e-8,0.161752121,0.003826258,1.535521293,0.004454529,32.49298426,10.16774222,0.003768261,0.417165014,0.004453892,10.55430898,0.009485298,0.736671094,0.029401562,-1.451050533,1.873537781,-0.370825966,0.0078998,-0.147197218,0.020454622,-13.14513673,1.847053764,
4015,Sample,Cave Pool Carbonates,jnl,include,84A-666-668A,IPL-CI-4594 84A-666-668A,20251228.16,12/28/25 16:15,4594,90,calcite,50,5.79e-8,5.77e-8,0.106316905,0.003490557,1.555821698,0.003951452,32.51391215,10.11611629,0.003460273,0.437334613,0.003940963,10.51998784,0.008502417,0.698131125,0.02832766,-4.598946181,1.634378112,-0.374128332,0.005909824,-0.224142117,0.023411478,-16.19965897,1.610939381,
4016,Sample,Cave Pool Carbonates,jnl,include,84A-746-748A,IPL-CI-4587 84A-746-748A,20251225.16,12/25/25 16:11,4587,90,calcite,50,5.79e-8,5.77e-8,0.128664999,0.003864894,1.581070752,0.004340655,32.53994165,10.13798659,0.003841235,0.462579126,0.004329529,10.57406091,0.010177194,0.883911721,0.022860524,1.813268576,1.513363922,-0.376340544,0.006246716,-0.088960885,0.018566296,-9.952377742,1.49292472,
4017,Sample,Cave Pool Carbonates,jnl,include,84A-746-748A,IPL-CI-4595 84A-746-748A,20251228.18,12/28/25 18:40,4595,90,calcite,50,5.79e-8,5.77e-8,0.112059178,0.003480336,1.595768559,0.003824965,32.55509376,10.12297897,0.003425758,0.477209097,0.003815171,10.57369803,0.010127389,0.851054108,0.029456686,0.437292935,1.614895021,-0.380128301,0.006226218,-0.15918769,0.023743999,-11.33845651,1.587855004,
4018,Sample,,jnl,include,84A-850-852A,IPL-CI-4588 84A-850-852A,20251225.19,12/25/25 19:06,4588,90,calcite,50,5.77e-8,5.75e-8,0.118414701,5.05558e-4,1.81688688,0.003761335,32.78304685,10.13804222,4.84041e-4,0.697857702,0.003753327,10.78105476,0.008371533,1.221719487,0.023478543,1.623046573,1.646862853,-0.382707998,0.006222477,-0.163591037,0.023921218,-10.47168847,1.628822808,
4019,Sample,,wmn,include,84A-850-852A,IPL-CI-4597 84A-850-852A,20251229.14,12/29/25 14:38,4597,90,calcite,50,5.78e-8,5.75e-8,0.061985803,5.45099e-4,1.887400997,0.003660317,32.85574056,10.08724051,4.89079e-4,0.768104494,0.003652166,10.7724121,0.007830534,1.356462896,0.026715938,-2.200948985,1.649592221,-0.402499817,0.006991081,-0.188100916,0.025334321,-14.33133276,1.631264111,
4020,Sample,,jnl,include,84A-954-956A,IPL-CI-4589 84A-954-956A,20251226.13,12/26/25 13:01,4589,90,calcite,50,5.77e-8,5.75e-8,-0.051936804,4.93803e-4,2.003245415,0.00356667,32.97516573,9.983798939,5.96781e-4,0.883464111,0.003559209,10.77875144,0.010203983,1.600314827,0.02584036,2.936322962,1.430031351,-0.409124977,0.006913534,-0.163490697,0.023361038,-9.372873719,1.413493567,
4021,Sample,,wmn,include,84A-954-956A,IPL-CI-4598 84A-954-956A,20251229.17,12/29/25 17:02,4598,90,calcite,50,5.77e-8,5.75e-8,-0.053110963,5.59018e-4,2.143397645,0.003591031,33.11965007,9.987584906,4.52625e-4,1.023319745,0.003583113,10.92112918,0.007724921,1.90391317,0.029434649,-0.27725304,1.880296488,-0.409173424,0.006508162,-0.153173622,0.02675218,-12.82134429,1.857841522,
4022,Sample,,eyl,include,AD10-111,IPL-CI-4723 AD10-111,20260222.12,2/22/26 12:13,4723,90,calcite,50,5.78e-8,5.76e-8,3.755064064,0.002104443,4.700006644,0.003661168,35.75528385,13.67092025,0.001604119,3.582549016,0.0036522,17.39095472,0.009444272,7.079993954,0.022167636,8.02645963,1.554422267,-0.297718542,0.00634453,-0.117779018,0.019153977,-13.46045409,1.519221475,
4023,Sample,,eyl,include,AD10-111,IPL-CI-4734 AD10-111,20260224.16,2/24/26 16:10,4734,90,calcite,50,5.78e-8,5.76e-8,3.757947593,0.002222222,4.678365358,0.004057676,35.73297363,13.67289664,0.00170309,3.560959783,0.004047534,17.38359542,0.009912214,7.057318778,0.027809636,11.08892256,1.444811092,-0.292055002,0.00643034,-0.102528125,0.021288044,-10.43185454,1.406191708,
4024,Sample,,wmn,include,BA30,IPL-CI-4649 BA30,20260129.09,1/29/26 9:11,4649,90,calcite,50,5.78e-8,5.76e-8,-6.065842658,0.002235226,3.693150963,0.003622243,34.71730626,4.368863071,0.001665031,2.557175817,0.003613259,6.728200638,0.011179489,4.992729395,0.027807878,-17.10256551,1.395594915,-0.328425662,0.008364713,-0.115123211,0.023668081,-26.61605569,1.387380115,
4025,Sample,,wmn,include,BA30,IPL-CI-4662 BA30,20260202.16,2/2/26 16:13,4662,90,calcite,50,5.78e-8,5.75e-8,-6.043446974,6.56598e-4,3.629034746,0.00360698,34.65120821,4.387047644,6.02955e-4,2.493232244,0.003598992,6.676555528,0.008614748,4.945982071,0.021643044,-12.17345465,1.695123159,-0.321212716,0.00703406,-0.063067566,0.021769415,-21.57247489,1.672384067,
4026,Sample,,eyl,include,BA30,IPL-CI-4670 BA30,20260204.2,2/4/26 20:14,4670,90,calcite,50,5.78e-8,5.75e-8,-6.048940291,5.68872e-4,3.620034448,0.003625627,34.64192971,4.381415283,4.53985e-4,2.484239658,0.003617343,6.654281322,0.009470058,4.855438763,0.023965321,-8.891626864,1.68852678,-0.324882771,0.007433895,-0.131164086,0.024260463,-18.31161968,1.672225145,
4027,Sample,,eyl,include,BA30,IPL-CI-4712 BA30,20260219.15,2/19/26 15:08,4712,90,calcite,50,5.77e-8,5.75e-8,-6.113170586,5.66881e-4,3.585487064,0.003622557,34.60631447,4.319614224,5.08626e-4,2.449630158,0.003614599,6.574364799,0.009269118,4.796515501,0.020001687,-9.572652752,1.899666449,-0.307269232,0.007811649,-0.098566738,0.021242198,-18.85592214,1.883830209,
4028,Sample,,wmn,exclude,BA5#1_A,IPL-CI-4643 BAS#1_A,20260126.17,1/26/26 17:03,4643,90,calcite,50,5.79e-8,5.77e-8,-4.407094116,0.003899816,2.253628384,0.004758251,33.23328804,5.881582672,0.003846416,1.124192952,0.004746129,6.884123204,0.009744114,2.158005632,0.027749377,-9.346591257,1.61937799,-0.323916444,0.005943767,-0.116906157,0.023996122,-17.84288074,1.602557376,sample name entered as BAS#1_A instead of BA5#1_A
4029,Sample,,wmn,include,BA5#1_A,IPL-CI-4652 BA5#1_A,20260129.16,1/29/26 16:33,4652,90,calcite,50,5.78e-8,5.76e-8,-4.396339994,5.11494e-4,2.262838829,0.003535118,33.242783180000004,5.89348383,4.4772e-4,1.133387518,0.003527105,6.880133951,0.008699567,2.171710286,0.028303886,-13.42858976,1.722803499,-0.331742176,0.007147986,-0.117213214,0.023556914,-21.79225496,1.704151844,
4030,Sample,,wmn,include,BA5#1_A,IPL-CI-4655 BA5#1_A,20260130.15,1/30/26 15:13,4655,90,calcite,50,5.78e-8,5.75e-8,-4.389847984,6.1176e-4,2.200809789,0.003550253,33.17883682,5.897301707,5.70728e-4,1.071502818,0.0035422,6.812613724,0.009245751,1.977957462,0.024872391,-14.43155938,1.830551215,-0.335564725,0.006489273,-0.194954675,0.021231632,-22.64590195,1.812831594,
4031,Sample,,eyl,include,BA5#1_A,IPL-CI-4667 BA5#1_A,20260204.09,2/4/26 9:28,4667,90,calcite,50,5.77e-8,5.75e-8,-4.355363461,4.80267e-4,2.207970085,0.003400586,33.18621844,5.93006033,4.58345e-4,1.078720464,0.003393013,6.84454196,0.00907837,2.090865506,0.022017264,-8.152242842,1.559461501,-0.34620518,0.006794789,-0.066953316,0.023139879,-16.48381916,1.544188858,
4032,Sample,,jph,include,BC1-40C-7,IPL-CI-4396 BC1-40C-7,20251026.19,10/26/25 19:40,4396,90,calcite,50,5.77e-8,5.75e-8,-12.29927853,4.80072e-4,-0.746678098,0.003381121,30.14024208,-1.669455866,4.20525e-4,-1.886507825,0.003373509,-3.937481186,0.008505132,-3.835648555,0.022150624,-32.08466994,1.799078731,-0.362062487,0.007798035,-0.071924733,0.019342384,-26.75938664,1.810343621,
4033,Sample,,jph,include,BC2-25C-6,IPL-CI-4397 BC2-25C-6,20251026.22,10/26/25 22:04,4397,90,calcite,50,5.77e-8,5.75e-8,-12.42983022,5.05753e-4,2.095674163,0.003287696,33.07045145,-1.69299027,4.70953e-4,0.949707393,0.003280519,-1.11574577,0.008474008,1.790591493,0.021156465,-18.3528387,1.75879532,-0.305887566,0.00639752,-0.12078272,0.016855815,-18.41975632,1.758724302,
4034,Sample,,jph,include,BC3-15C-6,IPL-CI-4402 BC3-15C-6,20251027.2,10/27/25 19:50,4402,90,calcite,50,5.77e-8,5.75e-8,-12.4039637,5.35148e-4,4.294064927,0.003793005,35.33679447,-1.591771886,5.05723e-4,3.143482744,0.003784666,1.170376546,0.007788851,6.163717277,0.01968532,-13.44072812,1.783149963,-0.273542948,0.006879554,-0.126856118,0.020824931,-17.84261322,1.771906709,
4035,Sample,,wmn,include,BHB-25-R6-262-A-1,IPL-CI-4822 BHB-25-R6-262-A-1,20260406.09,4/6/26 9:10,4822,90,calcite,50,5.75e-8,5.74e-8,-5.477402015,9.95584e-4,-0.825115236,0.003729855,30.05938045,4.764862914,9.53334e-4,-1.950475671,0.00372204,2.666193831,0.007064546,-3.999135639,0.017805386,-17.81620664,1.582321769,-0.32404647,0.008149668,-0.102343321,0.018028634,-19.02739005,1.581532495,
4036,Sample,,wmn,include,BHB-25-R6-268-B,IPL-CI-4787 BHB-25-R6-268-B,20260316.13,3/16/26 13:39,4787,90,calcite,50,5.78e-8,5.75e-8,-8.581516238,0.001544555,-4.126177087,0.003712764,26.65628278,1.72080911,0.001119764,-5.251040937,0.003703649,-3.828949202,0.009112657,-10.63608072,0.025512474,-35.78341774,1.563340861,-0.445645605,0.006541402,-0.175015767,0.021644999,-27.58816862,1.575394781,
4037,Sample,,wmn,include,BHB-25-R6-268-B,IPL-CI-4815 BHB-25-R6-268-B,20260402.11,4/2/26 11:44,4815,90,calcite,50,5.77e-8,5.76e-8,-8.588087111,6.58123e-4,-4.091359145,0.003478158,26.69217694,1.715353753,5.84347e-4,-5.21631586,0.003470642,-3.78980222,0.008906936,-10.51819837,0.026394231,-25.76585396,1.581856902,-0.433972334,0.00621268,-0.106139802,0.025688222,-17.51938484,1.596352711,
4038,Sample,,eyl,include,BHB-25-RG-262-BD,IPL-CI-4919 BHB-25-RG-262-BD,20260513.15,5/13/26 14:53,4919,90,calcite,50,5.77e-8,5.75e-8,-5.05253338,5.54047e-4,-0.587873025,0.003911521,30.30395582,5.174196152,4.71218e-4,-1.712844392,0.003902819,3.328048954,0.009233559,-3.469571857,0.023119075,-15.52627331,1.809068099,-0.321590441,0.007116706,-0.052937953,0.021522432,-17.62747718,1.804612854,
4039,Sample,,wmn,include,BHB-25-TRAV-242-A,IPL-CI-4674 BHB-25-TRAV-242-A,20260205.17,2/5/26 16:57,4674,90,calcite,50,5.78e-8,5.76e-8,-4.652637278,6.68165e-4,-1.567860616,0.00407617,29.29367681,5.517483127,4.69124e-4,-2.68991906,0.004066763,2.696169212,0.009182516,-5.471594906,0.022185259,-23.25486657,1.639020275,-0.343625885,0.006989677,-0.107531738,0.02205623,-23.83954276,1.63871116,
4040,Sample,,eyl,include,BHB-25-Trav-242-A,IPL-CI-4715 BHB-25-Trav-242-A,20260220.1,2/20/26 10:10,4715,90,calcite,50,5.77e-8,5.74e-8,-4.622872452,5.12486e-4,-1.579156266,0.004212628,29.282032010000002,5.544881254,4.88636e-4,-2.701129727,0.004203546,2.732720873,0.007793872,-5.517878879,0.023218368,-23.15475938,1.543259436,-0.314902998,0.006859471,-0.135644758,0.018701719,-23.72775224,1.542949352,
4041,Sample,,eyl,include,BHB-25-TRAV-242-B,IPL-CI-4916 BHB-25-TRAV-242-B,20260512.16,5/12/26 15:51,4916,90,calcite,50,5.77e-8,5.75e-8,-4.374028539,9.14266e-4,-1.584409024,0.00305895,29.27661689,5.779480248,8.48117e-4,-2.705849793,0.003052119,2.968082342,0.007294148,-5.475585769,0.025971476,-19.20947685,1.872935028,-0.322608869,0.006292305,-0.087698706,0.022445493,-20.02051515,1.871755798,
4042,Sample,,eyl,include,BHB-25-TRAV-242-B,IPL-CI-4917 BHB-25-TRAV-242-B,20260512.18,5/12/26 18:34,4917,90,calcite,50,5.78e-8,5.76e-8,-4.406697604,0.001134408,-1.59795771,0.00344931,29.26264942,5.748586173,8.82374e-4,-2.71943497,0.003441447,2.939168779,0.009222309,-5.496893678,0.022474455,-18.90906488,1.571066811,-0.311933941,0.006342728,-0.079915153,0.020865118,-19.68421109,1.573463026,
4043,Sample,,eyl,include,BHB-25-TRAV-242-B,IPL-CI-4920 BHB-25-TRAV-242-B,20260513.18,5/13/26 18:32,4920,90,calcite,50,5.77e-8,5.76e-8,-4.412383276,5.65585e-4,-1.596938014,0.003322067,29.26370063,5.742966919,4.88015e-4,-2.71843212,0.003314814,2.944911149,0.008038275,-5.556524731,0.024035048,-17.90707121,1.485998486,-0.299157109,0.006030792,-0.139277247,0.023386971,-18.66354609,1.482042516,
4044,Sample,,wmn,include,BHB-25-WDC-F6-229,IPL-CI-4786 BHB-25-WDC-F6-229,20260316.11,3/16/26 11:16,4786,90,calcite,50,5.77e-8,5.74e-8,-5.731734884,6.29172e-4,-1.533691798,0.003638875,29.32890179,4.500133938,6.0261e-4,-2.658085301,0.003631198,1.693409863,0.00924206,-5.438440687,0.021645913,-26.9847297,1.332379713,-0.328410639,0.00690775,-0.123460531,0.022307382,-26.56161898,1.331232594,
4045,Sample,,wmn,include,BHB-25-WDC-F6-229,IPL-CI-4818 BHB-25-WDC-F6-229,20260403.09,4/3/26 9:10,4818,90,calcite,50,5.77e-8,5.75e-8,-5.713116418,8.06258e-4,-1.477071529,0.00371989,29.38727219,4.51968345,7.37368e-4,-2.601545423,0.003711973,1.771675594,0.007193026,-5.26254552,0.023897006,-15.49283466,1.642839506,-0.325973432,0.006506448,-0.072562396,0.020481376,-15.19441158,1.645287385,
4046,Sample,,wmn,include,BHB-25-WDC-F6-230,IPL-CI-4921 BHB-25-WDC-F6-230,20260514.08,5/14/26 8:36,4921,90,calcite,50,5.77e-8,5.75e-8,-5.815890642,7.54578e-4,-1.940984048,0.003312456,28.90902014,4.406432801,7.26831e-4,-3.064691944,0.003305398,1.196807013,0.006981946,-6.2310871,0.024097524,-23.01226932,1.612805194,-0.326912147,0.005569422,-0.106606314,0.021394921,-21.70610096,1.61514799,
4047,Sample,,wmn,include,BHB-25-WDC-F6-230,IPL-CI-4925 BHB-25-WDC-F6-230,20260515.08,5/15/26 8:35,4925,90,calcite,50,5.77e-8,5.75e-8,-5.628511639,6.50152e-4,-1.778131036,0.003238722,29.07690693,4.588952969,6.12689e-4,-2.901790905,0.003231704,1.543552962,0.007755392,-5.897401077,0.022920207,-19.74711033,1.930690172,-0.328688088,0.005430712,-0.107844838,0.022159969,-18.94175372,1.93016892,
