"Date","Year","YearDay","Hours","RECORD","Flag_RECORD","Sitename","VWC_Avg_201_10cm","Flag_VWC_Avg_201_10cm","EC_Avg_201_10cm","Flag_EC_Avg_201_10cm","Soil_Temp_Avg_201_10cm","Flag_Soil_Temp_Avg_201_10cm","P_Avg_201_10cm","Flag_P_Avg_201_10cm","Period_Avg_201_10cm","Flag_Period_Avg_201_10cm","Voltage_Ratio_Avg_201_10cm","Flag_Voltage_Ratio_Avg_201_10cm","VWC_Avg_201_20cm","Flag_VWC_Avg_201_20cm","EC_Avg_201_20cm","Flag_EC_Avg_201_20cm","Soil_Temp_Avg_201_20cm","Flag_Soil_Temp_Avg_201_20cm","P_Avg_201_20cm","Flag_P_Avg_201_20cm","Period_Avg_201_20cm","Flag_Period_Avg_201_20cm","Voltage_Ratio_Avg_201_20cm","Flag_Voltage_Ratio_Avg_201_20cm","VWC_Avg_201_30cm","Flag_VWC_Avg_201_30cm","EC_Avg_201_30cm","Flag_EC_Avg_201_30cm","Soil_Temp_Avg_201_30cm","Flag_Soil_Temp_Avg_201_30cm","P_Avg_201_30cm","Flag_P_Avg_201_30cm","Period_Avg_201_30cm","Flag_Period_Avg_201_30cm","Voltage_Ratio_Avg_201_30cm","Flag_Voltage_Ratio_Avg_201_30cm","VWC_Avg_202_10cm","Flag_VWC_Avg_202_10cm","EC_Avg_202_10cm","Flag_EC_Avg_202_10cm","Soil_Temp_Avg_202_10cm","Flag_Soil_Temp_Avg_202_10cm","P_Avg_202_10cm","Flag_P_Avg_202_10cm","Period_Avg_202_10cm","Flag_Period_Avg_202_10cm","Voltage_Ratio_Avg_202_10cm","Flag_Voltage_Ratio_Avg_202_10cm","VWC_Avg_202_20cm","Flag_VWC_Avg_202_20cm","EC_Avg_202_20cm","Flag_EC_Avg_202_20cm","Soil_Temp_Avg_202_20cm","Flag_Soil_Temp_Avg_202_20cm","P_Avg_202_20cm","Flag_P_Avg_202_20cm","Period_Avg_202_20cm","Flag_Period_Avg_202_20cm","Voltage_Ratio_Avg_202_20cm","Flag_Voltage_Ratio_Avg_202_20cm","VWC_Avg_202_30cm","Flag_VWC_Avg_202_30cm","EC_Avg_202_30cm","Flag_EC_Avg_202_30cm","Soil_Temp_Avg_202_30cm","Flag_Soil_Temp_Avg_202_30cm","P_Avg_202_30cm","Flag_P_Avg_202_30cm","Period_Avg_202_30cm","Flag_Period_Avg_202_30cm","Voltage_Ratio_Avg_202_30cm","Flag_Voltage_Ratio_Avg_202_30cm","VwcCorr_Avg_201_10cm","Flag_VwcCorr_Avg_201_10cm","VwcCorr_Avg_201_20cm","Flag_VwcCorr_Avg_201_20cm","VwcCorr_Avg_201_30cm","Flag_VwcCorr_Avg_201_30cm","VwcCorr_Avg_202_10cm","Flag_VwcCorr_Avg_202_10cm","VwcCorr_Avg_202_20cm","Flag_VwcCorr_Avg_202_20cm","VwcCorr_Avg_202_30cm","Flag_VwcCorr_Avg_202_30cm"
2013-12-03,2013,337,23.9997,124,"A",200,0.041848,"A",0.0131,"A",10.8612,"A",3.468892,"A",1.9768,"A",1.0396,"A",0.0526914,"A",0.0144,"A",11.0215,"A",3.896901,"A",2.0399,"A",1.0418,"A",0.05916,"A",0.0117,"A",11.3312,"A",4.155838,"A",2.0823,"A",1.0349,"A",0.0567957,"A",0.0148,"A",10.1961,"A",4.060905,"A",2.0626,"A",1.0453,"A",0.0477075,"A",0.0128,"A",10.3202,"A",3.69918,"A",1.9998,"A",1.0376,"A",0.0721615,"A",0.0068,"A",10.7273,"A",4.684565,"A",2.1242,"A",1.0202,"A",0.006,"A",0.019,"A",0.027,"A",0.024,"A",0.013,"A",0.042,"A"
2013-12-04,2013,338,23.9997,125,"A",200,0.0427041,"A",0.0138,"A",11.1594,"A",3.502393,"A",1.9822,"A",1.0416,"A",0.0531909,"A",0.0148,"A",11.6734,"A",3.916799,"A",2.0429,"A",1.0428,"A",0.0596474,"A",0.0118,"A",12.0145,"A",4.175458,"A",2.0849,"A",1.0353,"A",0.0575677,"A",0.0153,"A",10.7645,"A",4.091861,"A",2.067,"A",1.0468,"A",0.0481847,"A",0.0131,"A",11.0857,"A",3.718044,"A",2.0027,"A",1.0384,"A",0.0727979,"A",0.0069,"A",11.4421,"A",4.710736,"A",2.1274,"A",1.0207,"A",0.007,"A",0.02,"A",0.027,"A",0.025,"A",0.014,"A",0.043,"A"
2013-12-05,2013,339,23.9997,126,"A",200,0.042688,"A",0.0139,"A",10.8385,"A",3.501675,"A",1.9823,"A",1.0419,"A",0.0533435,"A",0.0149,"A",11.8776,"A",3.922873,"A",2.0438,"A",1.0432,"A",0.0599309,"A",0.0119,"A",12.3409,"A",4.186876,"A",2.0865,"A",1.0356,"A",0.0577578,"A",0.0154,"A",10.6825,"A",4.09948,"A",2.0682,"A",1.0473,"A",0.0484001,"A",0.0133,"A",11.3923,"A",3.726561,"A",2.004,"A",1.039,"A",0.0731346,"A",0.007,"A",11.8251,"A",4.724592,"A",2.1292,"A",1.0211,"A",0.007,"A",0.02,"A",0.028,"A",0.025,"A",0.014,"A",0.043,"A"
2013-12-06,2013,340,23.9997,127,"A",200,0.0402488,"A",0.0122,"A",6.8609,"A",3.406267,"A",1.967,"A",1.0368,"A",0.0521469,"A",0.0139,"A",9.747,"A",3.875222,"A",2.0366,"A",1.0402,"A",0.059289,"A",0.0117,"A",11.3333,"A",4.161036,"A",2.083,"A",1.035,"A",0.0558878,"A",0.0143,"A",7.2012,"A",4.02452,"A",2.0575,"A",1.0437,"A",0.047654,"A",0.0128,"A",9.4326,"A",3.697067,"A",1.9995,"A",1.0375,"A",0.0725842,"A",0.0069,"A",10.8447,"A",4.70195,"A",2.1264,"A",1.0206,"A",0.004,"A",0.018,"A",0.027,"A",0.023,"A",0.013,"A",0.042,"A"
2013-12-07,2013,341,23.9997,128,"A",200,0.0377345,"A",0.0107,"A",4.0001,"A",3.308191,"A",1.9513,"A",1.0322,"A",0.0504499,"A",0.0126,"A",7.3681,"A",3.807786,"A",2.0263,"A",1.0363,"A",0.0580509,"A",0.0112,"A",9.7048,"A",4.111256,"A",2.0761,"A",1.0336,"A",0.0543038,"A",0.0134,"A",5.1777,"A",3.961192,"A",2.0484,"A",1.041,"A",0.0465696,"A",0.0121,"A",7.541,"A",3.654256,"A",1.993,"A",1.0354,"A",0.0716234,"A",0.0065,"A",9.315,"A",4.66246,"A",2.1213,"A",1.0194,"A",0.001,"A",0.016,"A",0.025,"A",0.021,"A",0.012,"A",0.041,"A"
2013-12-08,2013,342,23.9997,129,"A",200,0.0382999,"A",0.0111,"A",4.4037,"A",3.330333,"A",1.9549,"A",1.0334,"A",0.0496712,"A",0.012,"A",6.5914,"A",3.776905,"A",2.0216,"A",1.0346,"A",0.0569197,"A",0.0107,"A",8.4805,"A",4.065851,"A",2.0698,"A",1.0321,"A",0.0538448,"A",0.0132,"A",4.8695,"A",3.942879,"A",2.0458,"A",1.0403,"A",0.0458924,"A",0.0117,"A",6.7688,"A",3.627558,"A",1.989,"A",1.0342,"A",0.070754,"A",0.0062,"A",8.3849,"A",4.626784,"A",2.1168,"A",1.0186,"A",0.002,"A",0.016,"A",0.024,"A",0.021,"A",0.011,"A",0.04,"A"
2013-12-09,2013,343,23.9997,130,"A",200,0.038913,"A",0.0115,"A",5.261,"A",3.354186,"A",1.9588,"A",1.0347,"A",0.0499856,"A",0.0122,"A",7.1825,"A",3.78937,"A",2.0235,"A",1.0354,"A",0.056851,"A",0.0107,"A",8.6043,"A",4.063096,"A",2.0693,"A",1.0319,"A",0.0540332,"A",0.0133,"A",5.2513,"A",3.950391,"A",2.0469,"A",1.0406,"A",0.0457146,"A",0.0116,"A",6.8483,"A",3.620552,"A",1.9879,"A",1.0339,"A",0.0704502,"A",0.0062,"A",8.1971,"A",4.614326,"A",2.1153,"A",1.0185,"A",0.003,"A",0.016,"A",0.024,"A",0.021,"A",0.011,"A",0.04,"A"
2013-12-10,2013,344,23.9997,131,"A",200,0.0368506,"A",0.0102,"A",2.5755,"A",3.273916,"A",1.9458,"A",1.0307,"A",0.0491145,"A",0.0116,"A",5.7646,"A",3.754856,"A",2.0182,"A",1.0336,"A",0.0563923,"A",0.0104,"A",7.9399,"A",4.04472,"A",2.0667,"A",1.0313,"A",0.0528128,"A",0.0126,"A",3.171,"A",3.901739,"A",2.0399,"A",1.0385,"A",0.0451588,"A",0.0113,"A",5.6441,"A",3.598672,"A",1.9846,"A",1.033,"A",0.070116,"A",0.006,"A",7.4892,"A",4.600638,"A",2.1135,"A",1.0179,"A",0,"E",0.015,"A",0.024,"A",0.019,"A",0.01,"A",0.04,"A"
2013-12-11,2013,345,23.9997,132,"A",200,0.0375322,"A",0.0107,"A",3.8361,"A",3.300465,"A",1.9501,"A",1.0322,"A",0.0487835,"A",0.0114,"A",5.6508,"A",3.741748,"A",2.0162,"A",1.033,"A",0.0557646,"A",0.0102,"A",7.3282,"A",4.019584,"A",2.0632,"A",1.0304,"A",0.0527513,"A",0.0125,"A",3.7469,"A",3.899292,"A",2.0395,"A",1.0384,"A",0.0447079,"A",0.011,"A",5.3307,"A",3.580931,"A",1.9819,"A",1.0323,"A",0.0694911,"A",0.0058,"A",6.8566,"A",4.575051,"A",2.1102,"A",1.0173,"A",0.001,"A",0.015,"A",0.023,"A",0.019,"A",0.01,"A",0.039,"A"
2013-12-12,2013,346,23.9997,133,"A",200,0.0375419,"A",0.0105,"A",4.1144,"A",3.300675,"A",1.9501,"A",1.0318,"A",0.0490893,"A",0.0116,"A",6.1609,"A",3.753843,"A",2.0181,"A",1.0337,"A",0.0559098,"A",0.0102,"A",7.6753,"A",4.025389,"A",2.064,"A",1.0305,"A",0.0533232,"A",0.0128,"A",4.55,"A",3.922063,"A",2.0428,"A",1.0393,"A",0.0449187,"A",0.0111,"A",5.9406,"A",3.58922,"A",1.9832,"A",1.0326,"A",0.0695664,"A",0.0058,"A",7.1607,"A",4.578132,"A",2.1107,"A",1.0175,"A",0.001,"A",0.015,"A",0.023,"A",0.02,"A",0.01,"A",0.039,"A"
2013-12-13,2013,347,23.9997,134,"A",200,0.0391836,"A",0.0114,"A",5.7608,"A",3.364724,"A",1.9602,"A",1.0344,"A",0.0491814,"A",0.0118,"A",6.5371,"A",3.7575,"A",2.0187,"A",1.034,"A",0.0557746,"A",0.0102,"A",7.5465,"A",4.019981,"A",2.0632,"A",1.0304,"A",0.0538664,"A",0.0132,"A",5.7024,"A",3.943744,"A",2.0459,"A",1.0403,"A",0.0450695,"A",0.0111,"A",6.3615,"A",3.595156,"A",1.984,"A",1.0327,"A",0.06953,"A",0.0058,"A",7.2627,"A",4.57664,"A",2.1104,"A",1.0174,"A",0.003,"A",0.015,"A",0.023,"A",0.021,"A",0.01,"A",0.039,"A"
2013-12-14,2013,348,23.9997,135,"A",200,0.0388961,"A",0.0111,"A",4.3997,"A",3.353529,"A",1.9583,"A",1.0333,"A",0.0492962,"A",0.0118,"A",6.4861,"A",3.762046,"A",2.0194,"A",1.0341,"A",0.0559751,"A",0.0102,"A",7.8185,"A",4.028008,"A",2.0644,"A",1.0305,"A",0.053561,"A",0.0129,"A",4.3216,"A",3.931554,"A",2.0442,"A",1.0396,"A",0.0450875,"A",0.0112,"A",6.0803,"A",3.595865,"A",1.9842,"A",1.0328,"A",0.0696522,"A",0.0058,"A",7.3436,"A",4.581645,"A",2.1111,"A",1.0175,"A",0.003,"A",0.015,"A",0.023,"A",0.02,"A",0.01,"A",0.039,"A"
2013-12-15,2013,349,23.9997,136,"A",200,0.0386794,"A",0.011,"A",3.388,"A",3.345131,"A",1.957,"A",1.0331,"A",0.0487028,"A",0.0114,"A",5.6307,"A",3.738552,"A",2.0158,"A",1.0329,"A",0.0555576,"A",0.0101,"A",7.2782,"A",4.011299,"A",2.062,"A",1.0301,"A",0.0526759,"A",0.0125,"A",3.1065,"A",3.89628,"A",2.0391,"A",1.0383,"A",0.0445368,"A",0.0109,"A",5.0307,"A",3.574203,"A",1.9809,"A",1.0319,"A",0.069116,"A",0.0057,"A",6.5953,"A",4.559705,"A",2.1083,"A",1.0172,"A",0.003,"A",0.014,"A",0.023,"A",0.019,"A",0.009,"A",0.038,"A"
2013-12-16,2013,350,23.9997,137,"A",200,0.0400235,"A",0.0119,"A",4.3833,"A",3.397628,"A",1.9654,"A",1.0358,"A",0.0486337,"A",0.0113,"A",5.8052,"A",3.735821,"A",2.0154,"A",1.0328,"A",0.0553014,"A",0.0099,"A",7.1106,"A",4.00105,"A",2.0605,"A",1.0297,"A",0.0529006,"A",0.0127,"A",3.7565,"A",3.905244,"A",2.0404,"A",1.0387,"A",0.0443606,"A",0.0108,"A",5.0161,"A",3.567275,"A",1.9798,"A",1.0316,"A",0.0688704,"A",0.0056,"A",6.2973,"A",4.549662,"A",2.107,"A",1.0168,"A",0.004,"A",0.014,"A",0.022,"A",0.02,"A",0.009,"A",0.038,"A"
2013-12-17,2013,351,23.9997,138,"A",200,0.042023,"A",0.0132,"A",5.9031,"A",3.475852,"A",1.9778,"A",1.0398,"A",0.0492143,"A",0.0118,"A",6.7794,"A",3.758809,"A",2.0189,"A",1.0339,"A",0.0555435,"A",0.01,"A",7.6075,"A",4.010734,"A",2.0619,"A",1.0299,"A",0.0538941,"A",0.0132,"A",5.1589,"A",3.94486,"A",2.0461,"A",1.0404,"A",0.0446639,"A",0.0109,"A",5.8752,"A",3.579201,"A",1.9816,"A",1.0321,"A",0.068926,"A",0.0057,"A",6.7234,"A",4.551938,"A",2.1073,"A",1.017,"A",0.006,"A",0.015,"A",0.023,"A",0.021,"A",0.01,"A",0.038,"A"
2013-12-18,2013,352,23.9997,139,"A",200,0.042843,"A",0.0137,"A",5.9493,"A",3.507965,"A",1.9829,"A",1.0415,"A",0.0494407,"A",0.0119,"A",7.0051,"A",3.767775,"A",2.0202,"A",1.0345,"A",0.0558279,"A",0.0101,"A",7.9424,"A",4.022113,"A",2.0634,"A",1.0301,"A",0.0542562,"A",0.0134,"A",5.4062,"A",3.959311,"A",2.0482,"A",1.041,"A",0.0449603,"A",0.0111,"A",6.2373,"A",3.590858,"A",1.9834,"A",1.0325,"A",0.0692373,"A",0.0057,"A",7.1051,"A",4.564667,"A",2.1089,"A",1.0172,"A",0.007,"A",0.015,"A",0.023,"A",0.021,"A",0.01,"A",0.039,"A"
2013-12-19,2013,353,23.9997,140,"A",200,0.0458937,"A",0.0159,"A",8.3419,"A",3.627858,"A",2.0019,"A",1.0481,"A",0.0504412,"A",0.0126,"A",8.5417,"A",3.807446,"A",2.0262,"A",1.0363,"A",0.0563657,"A",0.0101,"A",8.7259,"A",4.043647,"A",2.0664,"A",1.0303,"A",0.0555857,"A",0.0142,"A",7.2931,"A",4.012444,"A",2.0558,"A",1.0436,"A",0.0455049,"A",0.0114,"A",7.4488,"A",3.612296,"A",1.9866,"A",1.0333,"A",0.0697503,"A",0.0059,"A",7.8356,"A",4.58566,"A",2.1116,"A",1.0175,"A",0.011,"A",0.016,"A",0.023,"A",0.023,"A",0.01,"A",0.039,"A"
2013-12-20,2013,354,23.9997,141,"A",200,0.0461729,"A",0.0161,"A",8.0554,"A",3.638701,"A",2.0037,"A",1.0487,"A",0.0508517,"A",0.0129,"A",8.9302,"A",3.82373,"A",2.0287,"A",1.0372,"A",0.0569499,"A",0.0101,"A",9.3876,"A",4.06706,"A",2.0694,"A",1.0301,"A",0.0563496,"A",0.0147,"A",7.8326,"A",4.043013,"A",2.0602,"A",1.045,"A",0.0459933,"A",0.0117,"A",8.2017,"A",3.631533,"A",1.9895,"A",1.0342,"A",0.070254,"A",0.0061,"A",8.566,"A",4.606288,"A",2.1142,"A",1.0181,"A",0.011,"A",0.017,"A",0.024,"A",0.023,"A",0.011,"A",0.04,"A"
2013-12-21,2013,355,23.9997,142,"A",200,0.0450715,"A",0.0154,"A",6.1085,"A",3.595271,"A",1.9969,"A",1.0465,"A",0.0502462,"A",0.0124,"A",7.8402,"A",3.799695,"A",2.025,"A",1.0359,"A",0.056743,"A",0.01,"A",8.9522,"A",4.058768,"A",2.0683,"A",1.03,"A",0.0556839,"A",0.0143,"A",6.2922,"A",4.016354,"A",2.0565,"A",1.0439,"A",0.0459378,"A",0.0116,"A",7.5821,"A",3.629346,"A",1.9892,"A",1.0341,"A",0.0702923,"A",0.0061,"A",8.4698,"A",4.607857,"A",2.1144,"A",1.0182,"A",0.01,"A",0.016,"A",0.024,"A",0.023,"A",0.011,"A",0.04,"A"
2013-12-22,2013,356,23.9997,143,"A",200,0.0448598,"A",0.0153,"A",5.2316,"A",3.587048,"A",1.9956,"A",1.0461,"A",0.0496391,"A",0.012,"A",7.0098,"A",3.775627,"A",2.0214,"A",1.0347,"A",0.0561648,"A",0.01,"A",8.2337,"A",4.035603,"A",2.0652,"A",1.03,"A",0.0548784,"A",0.0139,"A",5.0799,"A",3.984144,"A",2.0519,"A",1.0425,"A",0.045406,"A",0.0113,"A",6.5597,"A",3.6084,"A",1.986,"A",1.0331,"A",0.0699066,"A",0.0059,"A",7.7079,"A",4.592058,"A",2.1124,"A",1.0178,"A",0.01,"A",0.016,"A",0.023,"A",0.022,"A",0.01,"A",0.039,"A"
